aname,alongitude,alatitude
The Mermaid Inn,-73.9885768,40.7270599
Casa Mezcal,-73.9901252,40.7179284
Maialino,-73.985895,40.7385531
Gyu-Kaku Japanese BBQ,-73.9914863,40.728237
ABC Kitchen,-73.9896147,40.7377416
Poco - NYC,-73.9829025,40.7225107
The 13th Step,-73.9872714,40.7294796
Kumo Sushi,-73.982934,40.730456
Edi & The Wolf,-73.9788238,40.7238208
Baohaus,-73.9856561,40.7324882
The Wren,-73.992201,40.726322
Doughnut Plant,-73.98853,40.716336
Awash,-73.986862,40.726527
The DL,-73.989333,40.718558
Odessa,-73.9834882,40.7264743
The Halal Guys,-73.9843951,40.7323422
Momofuku Noodle Bar,-73.98451,40.729233
Beyond Sushi,-73.9858841,40.73292
IHOP,-73.9855083,40.732925
Shabu-Tatsu,-73.9858863,40.7292211
Tick Tock Diner NY,-73.9935185,40.7524017
Sofitel New York,-73.9818723,40.7556763
Maialino,-73.985895,40.7385531
ABC Kitchen,-73.9896147,40.7377416
Manzo,-73.989634,40.742087
Connolly's,-73.983625,40.7572822
Lugo Cucina,-73.992971,40.751379
The John Dory Oyster Bar,-73.988434,40.7458198
Minar,-73.9840245,40.7578765
48 Lounge,-73.982335,40.759333
Hale and Hearty,-73.977651,40.752935
Jazz Standard,-73.983777,40.7422962
Junoon,-73.9908701,40.7430634
The Roosevelt Hotel,-73.9774361,40.7547625
Bareburger,-73.9781321,40.7461519
Kabooz's Bar & Grill,-73.9934697,40.7506213
Lan Sheng,-73.9883517,40.7514762
Hooters,-73.9904279,40.7502043
The 40/40 Club,-73.9893262,40.7434557
Forty Four,-73.982226,40.755581
Hotel Pennsylvania,-73.9906244,40.7497723
The Hotel @ Fifth Avenue,-73.9865702,40.7477387
Hotel Stanford - New York,-73.987454,40.7482339
Life Hotel,-73.987004,40.74723
U Hotel Fifth Avenue,-73.9837068,40.749086
Radisson Martinique on Broadway,-73.9878262,40.7482729
Hotel Metro NYC,-73.9859914,40.750143
The Avalon Hotel,-73.9846108,40.7466796
Hampton Inn Manhattan-35th St/Empire State Bldg,-73.9864343,40.7502968
Hilton Garden Inn New York/West 35th Street,-73.9865054,40.7503679
Hotel Wolcott,-73.98673,40.74653
Holiday Inn Express Times Square South,-73.9860582,40.7505048
Fairfield Inn & Suites by Marriott New York Manhattan/Fifth Avenue,-73.984571,40.751178
The Roger New York,-73.9842701,40.7456763
HGU New York,-73.9833014,40.7460119
Kimpton Hotel Eventi,-73.989978,40.747202
WNYE-TV New York,-73.9857577,40.7485413
Macy's,-73.9894835,40.7508025
Refinery Hotel,-73.9853713,40.7522071
The Americana Inn,-73.9855489,40.7522927
New York,-74.0059728,40.7127753
Hotel Pennsylvania,-73.9906244,40.7497723
The Hotel @ Fifth Avenue,-73.9865702,40.7477387
Hotel Stanford - New York,-73.987454,40.7482339
Life Hotel,-73.987004,40.74723
U Hotel Fifth Avenue,-73.9837068,40.749086
Radisson Martinique on Broadway,-73.9878262,40.7482729
Hotel Metro NYC,-73.9859914,40.750143
The Avalon Hotel,-73.9846108,40.7466796
Hampton Inn Manhattan-35th St/Empire State Bldg,-73.9864343,40.7502968
Hilton Garden Inn New York/West 35th Street,-73.9865054,40.7503679
Hotel Wolcott,-73.98673,40.74653
Holiday Inn Express Times Square South,-73.9860582,40.7505048
Fairfield Inn & Suites by Marriott New York Manhattan/Fifth Avenue,-73.984571,40.751178
The Roger New York,-73.9842701,40.7456763
HGU New York,-73.9833014,40.7460119
Kimpton Hotel Eventi,-73.989978,40.747202
WNYE-TV New York,-73.9857577,40.7485413
Macy's,-73.9894835,40.7508025
Midtown,-73.9840195,40.7549309
New York Transit Museum Gallery Annex & Store,-73.9779755,40.7531584
The Korea Society,-73.978412,40.7547097
Scandinavia House,-73.980024,40.749427
Posters Please Inc,-73.9939192,40.7384161
The Jazz Gallery,-73.988581,40.744628
Art & Advisory LLC,-73.9893613,40.743786
Duggal Visual Solutions,-73.991313,40.7433466
Creative Art Works,-73.9919099,40.75366
Fine Art Imaging,-73.9915613,40.7575867
Unicorn Art Studio Inc,-73.992879,40.7467744
Swann Auction Galleries,-73.9850777,40.7410272
Schreiber,-73.9889716,40.7496922
Council of Family & Child,-73.9917679,40.7409865
Center For Book Arts Inc,-73.9899308,40.7447696
Andrew Tedesco Studios,-73.9926287,40.7450696
Greenlander LLC,-73.987422,40.7534083
Contemporary Art Partners LLC,-73.9890842,40.7514438
Tower 49 Gallery,-73.9769973,40.7572495
Messineo Art Projects,-73.9939529,40.7485269
Joy Through Art Foundation,-73.9846232,40.7586796
AMC Kips Bay 15,-73.9767193,40.7428896
